171,152,4
25,106,2
160,150,4
85,167,3
169,168,3
173,168,1
68,151,4
134,38,3
167,20,4
117,38,3
28,167,3
71,21,4
173,167,0
177,74,4
25,20,2
54,20,4
112,169,3
170,168,3
73,20,4
83,20,4
25,55,2
128,21,4
150,21,4
25,119,2
133,150,4
163,167,3
132,21,4
59,169,3
157,85,4
26,53,2
76,168,3
171,168,3
108,101,0
146,87,4
68,21,4
24,32,4
161,103,3
90,87,4
23,167,2
49,106,1
119,86,4
47,137,1
89,168,3
26,135,2
161,167,3
172,28,1
83,39,3
49,47,1
172,150,4
48,134,1
50,20,4
99,87,4
98,38,3
113,168,3
92,85,4
28,21,2
83,167,3
168,87,4
93,150,4
113,169,3
177,116,3
129,168,3
118,87,4
20,170,2
76,39,3
141,150,4
60,166,3
120,85,4
165,96,3
27,141,0
126,103,0
114,87,4
133,20,4
55,166,3
58,167,3
154,21,4
161,21,4
39,22,4
49,65,1
162,85,0
165,94,4
140,21,4
31,169,3
26,151,2
164,96,1
81,87,4
67,168,3
173,32,1
32,167,3
26,86,2
156,169,3
133,167,3
174,78,4
55,168,3
178,72,1
172,165,1
72,168,3
134,104,3
26,118,2
160,20,4
25,74,2
166,38,3
26,104,2
139,85,4
170,39,3
106,103,3
27,134,2
112,87,0
28,165,3
170,105,3
25,137,2
90,166,3
25,63,2
27,164,2
96,103,3
27,21,4
137,87,0
127,167,3
25,68,2
59,168,3
81,150,4
28,153,0
26,70,2
169,87,4
26,167,2
155,101,3
165,97,3
25,73,0
86,167,3
26,29,2
107,38,3
173,22,1
124,38,3
146,103,0
88,102,3
174,26,1
147,87,0
66,168,3
165,39,3
174,169,1
138,85,4
151,103,3
62,103,3
152,20,4
105,38,3
26,62,2
145,38,3
131,168,3
26,19,4
95,168,3
135,85,4
132,22,4
85,38,3
153,166,3
108,86,0
172,25,1
32,168,3
119,38,3
151,20,4
173,166,1
173,34,1
56,169,3
116,39,3
25,71,2
167,89,4
175,114,3
126,86,4
79,170,1
162,23,4
129,104,3
174,154,0
161,169,3
107,87,0
163,96,1
146,168,3
61,104,0
67,103,3
80,20,4
143,169,3
29,164,3
174,157,1
171,21,4
164,95,1
49,68,1
169,169,3
114,168,3
144,102,0
27,99,0
173,151,0
25,117,2
49,77,1
166,93,4
116,168,3
48,146,1
147,150,4
179,71,1
174,23,4
118,20,4
84,104,3
166,98,3
130,151,4
140,87,4
82,38,3
25,93,2
147,167,3
136,85,4
28,67,0
85,168,3
140,85,4
64,85,4
117,104,3
110,87,4
139,20,4
105,103,3
27,137,0
165,93,4
174,77,4
53,20,4
115,102,3
164,94,1
64,167,3
168,168,3
131,104,3
27,102,2
58,20,4
172,162,1
27,115,2
49,116,1
80,86,4
60,103,0
109,169,3
