144,37,t,3
184,35,d,1
191,96,d,3
25,173,d,3
153,22,t,4
41,69,t,1
184,98,d,3
74,89,t,2
118,36,t,3
194,35,d,1
41,170,d,3
177,167,d,3
173,164,t,3
30,24,t,3
63,31,t,1
26,152,t,3
188,95,d,1
71,25,t,4
136,90,t,4
86,89,t,2
171,102,d,3
116,26,t,1
115,160,t,2
49,128,t,4
112,167,t,1
125,102,t,2
66,167,t,1
25,171,d,3
170,150,t,1
26,105,t,2
91,170,d,3
94,159,t,4
145,100,t,4
99,154,t,3
9,25,d,2
193,35,d,1
110,152,t,4
195,95,d,1
125,100,t,2
118,169,t,1
49,63,t,3
119,150,t,2
185,165,d,1
10,23,d,4
97,157,t,1
5,25,d,2
82,174,d,3
180,176,d,3
146,91,t,4
185,25,d,4
98,150,t,3
47,118,t,1
168,54,d,3
20,25,d,2
141,85,t,4
189,155,d,1
36,169,t,2
186,95,d,1
129,167,t,1
5,169,d,3
177,95,d,1
184,155,d,1
121,20,t,2
43,65,t,1
102,165,t,1
29,68,t,4
56,30,t,4
13,165,d,2
145,88,t,4
8,25,d,2
161,102,t,3
95,152,t,4
26,41,t,2
94,36,t,3
30,162,t,4
170,34,t,3
25,122,t,4
164,94,t,3
189,25,d,1
59,85,t,4
138,163,t,4
84,176,d,3
104,21,t,3
155,158,t,3
16,25,d,2
70,23,t,4
179,95,d,1
95,168,t,1
26,168,t,2
99,167,t,1
148,103,t,2
133,170,d,3
114,91,t,2
152,23,t,4
7,168,d,3
98,100,t,1
117,98,t,3
188,165,d,1
14,125,d,2
187,100,d,3
55,21,t,4
22,165,d,2
169,37,t,1
27,142,t,4
31,122,t,4
124,168,t,3
88,37,t,3
196,165,d,3
15,165,d,2
101,176,d,3
12,105,d,2
146,36,t,1
127,166,t,4
190,96,d,3
80,24,t,1
174,166,t,2
179,25,d,1
16,105,d,2
38,168,t,2
129,25,t,4
54,33,t,4
16,35,d,2
26,148,t,2
78,110,d,3
115,35,t,3
85,97,t,1
89,171,d,3
72,33,t,2
94,94,t,4
196,151,d,4
100,89,t,1
25,67,t,1
154,153,t,1
126,26,t,1
148,89,t,1
171,160,t,4
132,93,t,2
23,177,d,3
103,38,t,3
